Row Labels,Average of Rainfall (mm),Average of temp_min (â°C),Average of temp_max (â°C),Average of humidity_min (%),Average of Humidity_max (%),Average of wind_speed_min (Kmph),Average of wind_speed_max (Kmph)
Jan-18,0,17.28302207,32.46216469,36.73701188,92.15882852,8.72E-05,5.651438535
Feb-18,0.001033835,18.28402256,34.30018797,32.50827068,90.00319549,0.008301158,7.457818533
Mar-18,0.306281834,21.73438031,36.89244482,33.80169779,91.94932088,0.100784656,7.405231037
Apr-18,0.236754386,25.17394737,38.98368421,35.79411248,87.8384007,0.243608341,10.39320036
May-18,0.762818336,26.99185059,40.77809847,35.61943973,82.71315789,0.308892764,11.12223191
Jun-18,5.161578947,26.74894737,37.08333333,49.24017544,83.53333333,0.164504505,10.95837838
Jul-18,5.715025467,25.6729202,33.06612903,66.55076401,91.91061121,0.173496077,10.46442895
Aug-18,11.94371817,25.00602716,32.57809847,69.42351443,93.79533107,0.176547515,9.910549259
Sep-18,2.118859649,25.15508772,34.83377193,57.64929825,92.44026316,0.057456542,6.96852699
Oct-18,0.842307692,23.27788462,35.27091346,48.18413462,91.64054487,0.018712955,5.514563929
Nov-18,0.197105263,20.78912281,34.15824561,42.35938596,91.36666667,0.016044776,5.580503731
Dec-18,1.894480519,19.58993506,30.9351461,53.45560065,94.05243506,0.072472387,5.229566695
Jan-19,1.086048387,17.49991935,31.44217742,47.64354839,95.75991935,0.011430991,5.429127858
Feb-19,0.004285714,20.79848214,33.943125,45.07776786,94.86232143,0.039505041,6.499541705
-19,0.247177419,22.72758065,36.65669355,40.83290323,94.34048387,0.045492142,7.176509512
Apr-19,0.341,25.19083333,39.67575,30.9065,8.33,89.72175,0.087863248
May-19,1.072177419,28.24435484,41.98596774,30.80725806,9.425662252,84.8675,0.179304636
Jun-19,1.451746032,28.90333333,39.44333333,41.41301587,12.99920255,79.52428571,0.53923445
Jul-19,6.13625192,26.25837174,34.67772657,58.31167435,12.82396313,0.321812596,90.6187404
Aug-19,8.187557604,25.51321045,33.23195084,70.10015361,10.86605223,0.276036866,94.89569892
Sep-19,7.847454844,25.17411056,32.556185,76.78481117,7.367487685,0.092775041,96.15498084
Oct-19,4.055606759,24.4578085,33.74242192,69.16426011,6.108294931,0.055453149,96.65642601
Nov-19,0.295555556,21.5184127,33.29952381,56.28190476,5.239206349,0.013174603,96.51587302
Dec-19,0.147619048,19.7968254,31.65796211,51.98883769,6.069003115,0.004984424,95.8437788
Jan-20,0.08202765,20.53425499,31.91889401,52.3688172,96.91858679,0,6.297975078
Feb-20,0.192118227,20.8546798,33.53891626,47.16683087,95.99819376,0,8.221530249
Mar-20,0.310291859,23.08986175,35.97941628,47.12211982,94.87419355,0,7.149001536
Apr-20,0.13,24.68793651,38.29809524,39.16142857,91.77873016,,8.053015873
May-20,0.345929339,27.9734255,40.59892473,33.97557604,85.71059908,,9.780491551
Jun-20,5.86,27.04698413,36.84269841,52.88079365,90.53507937,0.085714286,10.96936508
Jul-20,10.18049155,25.79137225,34.24480287,71.18205325,97.56973886,0.037480799,7.849462366
Aug-20,11.23917051,25.65286738,32.35238095,79.10960061,98.29126984,0.201085271,8.426666667
Sep-20,7.928253968,26.01936508,34.46714286,73.49666667,98.28174603,0.039427663,6.060254372
Oct-20,6.314439324,24.74193548,33.64193548,50.96,33.64193548,0.025545171,98.26897081
Nov-20,0.818571429,21.83253968,33.00174603,57.12,33.00174603,0.013057325,96.33666667
Dec-20,0,18.30983103,32.36543779,47.22995392,32.36543779,0.008782743,96.50092166
Jan-21,0.001075269,19.60092166,33.18463902,47.03947773,97.45391705,,
Feb-21,0,19.19693878,34.1622449,40.17380952,96.78180272,,
Mar-21,0,21.67204301,36.74408602,37.24070661,96.28187404,,
Apr-21,0.496984127,24.56873016,38.95238095,38.81365079,93.00349206,0.026666667,8.266825397
May-21,1.435866261,26.48733536,39.05947315,27.40587639,59.95420466,0.022391084,6.414387031
Jun-21,4.892380952,26.14301587,35.54619048,54.71571429,93.9,0.031746032,9.625555556
Jul-21,13.00168971,25.15176651,33.24577573,70.69308756,98.04116743,0.021966206,8.152380952
Aug-21,6.161290323,25.44301075,34.00199693,67.90675883,97.98648233,0.032411674,7.876958525
Sep-21,9.528730159,25.19698413,33.2931746,73.58777778,99.4047619,0.015555556,7.113968254
Oct-21,1.77250384,24.38863287,34.82565284,61.28018433,99.4499232,0.013210445,6.203993856
Nov-21,1.487142857,22.8631746,32.67825397,66.5231746,99.06507937,0,0
Dec-21,0.005990783,18.24654378,32.21812596,49.32150538,98.23840246,0.001996928,6.306451613
Jan-22,1.833266129,17.12197581,29.08629032,51.74556452,95.55967742,0.007862903,6.558669355
Feb-22,0,11.21428571,36.70357143,13.31071429,100,0,64.85714286
Mar-22,0,21.40564516,36.43165323,33.30866935,89.35020161,0.051814516,6.750806452
Apr-22,0.030833333,25.025,39.10270833,34.44916667,83.81416667,0.175,8.195625
May-22,0.56875,27.49858871,40.26028226,29.69576613,72.26129032,0.196848739,10.33109244
Jun-22,6.158125,26.75104167,37.42520833,42.64875,80.37791667,0.108333333,11.9925
Jul-22,22.25826613,23.91068548,30.61048387,74.31935484,97.04616935,0.426612903,10.82298387
Aug-22,5.436290323,24.87177419,32.29858871,68.38467742,95.69778226,0.158064516,9.354637097
Sep-22,6.964791667,24.02729167,32.39041667,69.69507937,96.80854167,0.056694561,8.288284519
